Store_id,State,County_name,County_fips,Town,Town_lat,Town_lng,Street,Category,Opening_date,Closing_date
1158,AL,Jefferson,1073,Adamsville,33.6073,-86.9740,2473 Hackworth Rd.,Walmart Supercenter,1988-03-01,
4756,AL,Shelby,1117,Alabaster,33.2198,-86.8225,9085 Hwy 119,Neighborhood Market,2015-09-30,
423,AL,Shelby,1117,Alabaster,33.2198,-86.8225,630 Colonial Promenade Pkwy,Walmart Supercenter,1981-12-01,
726,AL,Tallapoosa,1123,Alexander City,32.9229,-85.9358,2643 Highway 280,Walmart Supercenter,1981-08-04,
1091,AL,Covington,1039,Andalusia,31.3102,-86.4781,1991 M L King Jr Expy,Walmart Supercenter,1987-10-01,
329,AL,Calhoun,1015,Anniston,33.6712,-85.8135,5560 McClellan Blvd.,Walmart Supercenter,1980-04-15,
306,AL,Marshall,1095,Arab,34.3309,-86.4991,1450 N Brindlee Mountain Pkwy,Walmart Supercenter,1980-02-26,
661,AL,Limestone,1083,Athens,34.7843,-86.9503,1011 US Hwy 72 E,Walmart Supercenter,1981-07-04,
7247,AL,Escambia,1053,Atmore,31.0927,-87.4762,911 N Main St.,Walmart Supercenter,2014-08-06,
316,AL,Etowah,1055,Attalla,34.005,-86.1039,973 Gilbert Ferr Rd. SE,Walmart Supercenter,1980-11-18,
4673,AL,Lee,1081,Auburn,32.6087,-85.4903,1810 Shug Jordan Pkwy,Neighborhood Market,2016-01-27,
5062,AL,Lee,1081,Auburn,32.6087,-85.4903,2047 E University Dr,Neighborhood Market,2016-01-13,
356,AL,Lee,1081,Auburn,32.6087,-85.4903,1717 S College St.,Walmart Supercenter,1981-09-01,
2739,AL,Baldwin,1003,Bay Minette,30.893,-87.7912,701 McMeans Ave.,Walmart Supercenter,1999-08-18,
764,AL,Jefferson,1073,Bessemer,33.3712,-86.9728,750 Academy Dr,Walmart Supercenter,1984-11-13,
3424,AL,Jefferson,1073,Birmingham,33.5279,-86.7971,2653 Valleydale Rd.,Neighborhood Market,2015-01-28,
4504,AL,Jefferson,1073,Birmingham,33.5279,-86.7971,312 Palisades Blvd.,Neighborhood Market,2007-04-25,
5100,AL,Jefferson,1073,Birmingham,33.5279,-86.7971,1916 Center Point Pkwy,Neighborhood Market,2003-01-15,
762,AL,Jefferson,1073,Birmingham,33.5279,-86.7971,9248 Parkway E,Walmart Supercenter,1984-11-13,
1711,AL,Jefferson,1073,Birmingham,33.5279,-86.7971,1600 Montclair Rd.,Walmart Supercenter,1991-07-02,
2713,AL,Jefferson,1073,Birmingham,33.5279,-86.7971,5919 Trussville Crossings Pkwy,Walmart Supercenter,2000-05-17,
298,AL,Marshall,1095,Boaz,34.1985,-86.1529,1972 US Highway 431,Walmart Supercenter,1980-08-12,
425,AL,Bibb,1007,Brent,32.9421,-87.1753,10675 AL-5,Walmart Supercenter,1982-08-03,
1620,AL,Escambia,1053,Brewton,31.1113,-87.0737,2578 Douglas Ave.,Walmart Supercenter,1990-11-14,
3271,AL,Shelby,1117,Calera,33.1254,-86.7449,5100 US-31,Walmart Supercenter,2001-06-20,
5126,AL,Cherokee,1019,Centre,34.1537,-85.6689,1950 W Main St.,Walmart Supercenter,2003-08-20,
4330,AL,Shelby,1117,Chelsea,33.3262,-86.6300,16077 US-280,Walmart Supercenter,2007-06-13,
424,AL,Chilton,1021,Clanton,32.8444,-86.6233,1415 7th St. S,Walmart Supercenter,1982-08-03,
670,AL,Cullman,1043,Cullman,34.1775,-86.8407,626 Olive St. SW,Walmart Supercenter,1981-07-04,
7280,AL,Cullman,1043,Cullman,34.1775,-86.8407,5601 AL-157,Walmart Supercenter,2015-11-11,
934,AL,Baldwin,1003,Daphne,30.6263,-87.8816,27520 US-98,Walmart Supercenter,1986-07-15,
2488,AL,Morgan,1103,Decatur,34.5731,-86.9905,1203 6th Ave. SE,Neighborhood Market,2013-04-19,
662,AL,Morgan,1103,Decatur,34.5731,-86.9905,2800 Spring Ave. SW,Walmart Supercenter,1981-07-04,
731,AL,Marengo,1091,Demopolis,32.498,-87.8298,969 US-80,Walmart Supercenter,1981-07-04,
5769,AL,Houston,1069,Dothan,31.2336,-85.4070,3871 W Main St.,Neighborhood Market,2016-03-16,
604,AL,Houston,1069,Dothan,31.2336,-85.4070,4310 Montgomery Hwy,Walmart Supercenter,1983-11-15,
2534,AL,Houston,1069,Dothan,31.2336,-85.4070,3300 S Oates St.,Walmart Supercenter,1997-05-21,
734,AL,Coffee,1031,Enterprise,31.3275,-85.8463,600 Boll Weevil Cir.,Walmart Supercenter,1981-07-04,
1638,AL,Barbour,1005,Eufaula,31.9102,-85.1505,3176 S Eufaula Ave.,Walmart Supercenter,1990-11-14,
4333,AL,Baldwin,1003,Fairhope,30.5209,-87.8813,10040 Co Rd. 48,Walmart Supercenter,2007-07-18,
1052,AL,Fayette,1057,Fayette,33.6943,-87.8307,3186 AL-171,Walmart Supercenter,1987-02-03,
4188,AL,Lauderdale,1077,Florence,34.8303,-87.6655,1410 Florence Blvd.,Neighborhood Market,2013-06-12,
766,AL,Lauderdale,1077,Florence,34.8303,-87.6655,3100 Hough Rd.,Walmart Supercenter,1984-11-13,
4187,AL,Lauderdale,1077,Florence,34.8303,-87.6655,2701 Cloverdale Rd.,Walmart Supercenter,2014-01-15,
904,AL,Baldwin,1003,Foley,30.3983,-87.6650,2200 S McKenzie St.,Walmart Supercenter,1986-01-21,
691,AL,DeKalb,1049,Fort Payne,34.4559,-85.6965,2001 Glenn Blvd. SW,Walmart Supercenter,1981-07-04,
301,AL,Etowah,1055,Gadsden,34.0086,-86.0157,340 E Meighan Blvd.,Walmart Supercenter,1980-08-12,
1201,AL,Jefferson,1073,Gardendale,33.6677,-86.8069,890 Odum Rd.,Walmart Supercenter,1988-08-16,
1063,AL,Geneva,1061,Geneva,31.0437,-85.8763,1608 W Magnolia Ave.,Walmart,1987-09-01,
1462,AL,Butler,1013,Greenville,31.8437,-86.6380,501 Willow Ln.,Walmart Supercenter,1990-04-30,
2748,AL,Baldwin,1003,Gulf Shores,30.2764,-87.7017,170 E Fort Morgan Rd.,Walmart Supercenter,2004-07-21,
681,AL,Marshall,1095,Guntersville,34.3671,-86.2637,11697 US-431,Walmart Supercenter,1981-07-04,
409,AL,Winston,1133,Haleyville,34.2331,-87.6175,42466 AL-195,Walmart Supercenter,1981-10-13,
1100,AL,Marion,1093,Hamilton,34.1346,-87.9755,1706 Military St. S,Walmart Supercenter,1987-12-31,
1124,AL,Morgan,1103,Hartselle,34.4391,-86.9396,1201 Highway 31 NW,Walmart Supercenter,1987-10-01,
6878,AL,Madison,1089,Hazel Green,34.9236,-86.5671,14595 US-231,Walmart Supercenter,2015-03-11,
4189,AL,Shelby,1117,Helena,33.2837,-86.8791,335 Helena Marketplace,Neighborhood Market,2013-11-06,
1481,AL,Jefferson,1073,Homewood,33.4619,-86.8090,209 Lakeshore Pkwy,Walmart Supercenter,1990-10-29,
3184,AL,Jefferson,1073,Hoover,33.3763,-86.8068,3320 Lorna Rd.,Neighborhood Market,2013-08-14,
1229,AL,Jefferson,1073,Hoover,33.3763,-86.8068,2780 John Hawkins Pkwy.,Walmart Supercenter,1989-04-03,
2111,AL,Jefferson,1073,Hoover,33.3763,-86.8068,5335 US-280,Walmart Supercenter,1994-07-26,
4497,AL,Jefferson,1073,Hueytown,33.4239,-87.0220,1007 Red Farmer Dr,Walmart Supercenter,2008-10-15,
5197,AL,Madison,1089,Huntsville,34.6981,-86.6412,330 Sutton Rd.,Walmart Supercenter,2005-01-26,
7254,AL,Madison,1089,Huntsville,34.6981,-86.6412,1 Cottonvalley Dr NW,Clinic Pharmacy,2013-12-09,
3185,AL,Madison,1089,Huntsville,34.6981,-86.6412,4226 Oakwood Ave. NW,Neighborhood Market,2014-11-05,
5716,AL,Madison,1089,Huntsville,34.6981,-86.6412,9020 Bailey Cove Rd. SE,Neighborhood Market,2016-01-27,
5925,AL,Madison,1089,Huntsville,34.6981,-86.6412,2305 Jordan Ln. SW,Neighborhood Market,2016-10-05,
332,AL,Madison,1089,Huntsville,34.6981,-86.6412,6140A University Dr,Walmart Supercenter,1981-10-13,
375,AL,Madison,1089,Huntsville,34.6981,-86.6412,3031 Memorial Pkwy SW,Walmart Supercenter,1981-08-11,
433,AL,Madison,1089,Huntsville,34.6981,-86.6412,2200 Sparkman Dr NW,Walmart Supercenter,1981-08-11,
434,AL,Madison,1089,Huntsville,34.6981,-86.6412,11610 Memorial Pkwy SW,Walmart Supercenter,1981-08-11,
7324,AL,Madison,1089,Huntsville,34.6981,-86.6412,2165 Winchester Rd. NE,Walmart Supercenter,2016-06-01,
2760,AL,Clarke,1025,Jackson,31.5318,-87.8915,4206 N College Ave.,Walmart Supercenter,1999-09-15,
300,AL,Calhoun,1015,Jacksonville,33.8088,-85.7545,1625 Pelham Rd. S,Walmart Supercenter,1980-10-14,
287,AL,Walker,1127,Jasper,33.8508,-87.2710,1801 Hwy 78 E,Walmart Supercenter,1979-11-27,
562,AL,Jefferson,1073,Leeds,33.5436,-86.5639,8551 Whitfield Ave.,Walmart Supercenter,1983-11-01,
7342,AL,Madison,1089,Madison,34.7114,-86.7626,7140 Wall Triana Hwy,Neighborhood Market,2015-01-07,
2690,AL,Madison,1089,Madison,34.7114,-86.7626,8650 Madison Blvd.,Walmart Supercenter,1998-10-28,
5703,AL,Madison,1089,Madison,34.7114,-86.7626,8580 Hwy 72 W,Walmart Supercenter,2012-10-26,
5746,AL,Madison,1089,Madison,34.7114,-86.7626,7520 Highway 72 W,Convenience with Fuel,2016-04-06,2022-01-01
4318,AL,Elmore,1051,Millbrook,32.5027,-86.3737,145 Kelley Blvd.,Walmart Supercenter,2007-06-13,
4210,AL,Mobile,1097,Mobile,30.6782,-88.1162,1300 N University Blvd.,Neighborhood Market,2015-01-28,
4648,AL,Mobile,1097,Mobile,30.6782,-88.1162,6575 Airport Blvd.,Neighborhood Market,2014-01-29,
4657,AL,Mobile,1097,Mobile,30.6782,-88.1162,6350 Cottage Hill Rd.,Neighborhood Market,2008-06-25,
5098,AL,Mobile,1097,Mobile,30.6782,-88.1162,1970 S University Blvd.,Neighborhood Market,2003-01-15,
5740,AL,Mobile,1097,Mobile,30.6782,-88.1162,2570 Government Blvd.,Neighborhood Market,2015-11-11,
853,AL,Mobile,1097,Mobile,30.6782,-88.1162,685 Schillinger Rd. S,Walmart Supercenter,1985-08-20,
866,AL,Mobile,1097,Mobile,30.6782,-88.1162,5245 Rangeline Service Rd.,Walmart Supercenter,1988-06-30,
991,AL,Mobile,1097,Mobile,30.6782,-88.1162,101 E 1-65 Service Rd. S,Walmart Supercenter,1986-11-11,
4581,AL,Mobile,1097,Mobile,30.6782,-88.1162,2500 Dawes Rd.,Walmart Supercenter,2008-03-07,
1493,AL,Monroe,1099,Monroeville,31.5162,-87.3279,3371 S Alabama Ave.,Walmart Supercenter,1990-08-01,
4672,AL,Montgomery,1101,Montgomery,32.3482,-86.2668,1600 Federal Dr,Neighborhood Market,2016-01-27,
4691,AL,Montgomery,1101,Montgomery,32.3482,-86.2668,8035 Vaughn Rd.,Neighborhood Market,2016-03-02,
930,AL,Montgomery,1101,Montgomery,32.3482,-86.2668,3801 Eastern Blvd.,Walmart Supercenter,1986-07-01,
938,AL,Montgomery,1101,Montgomery,32.3482,-86.2668,6495 Atlanta Hwy,Walmart Supercenter,1986-07-01,
4407,AL,Montgomery,1101,Montgomery,32.3482,-86.2668,10710 Chantilly Pkwy,Walmart Supercenter,2007-04-18,
5348,AL,Montgomery,1101,Montgomery,32.3482,-86.2668,851 Ann St.,Walmart Supercenter,2006-07-19,
394,AL,Lawrence,1079,Moulton,34.4844,-87.2833,15445 AL-24,Walmart Supercenter,1981-12-01,
660,AL,Colbert,1033,Muscle Shoals,34.7432,-87.6343,517 W Avalon Ave.,Walmart Supercenter,1981-07-04,
5248,AL,Tuscaloosa,1125,Northport,33.2586,-87.5993,1660 McFarland Blvd.,Neighborhood Market,2016-08-31,
2306,AL,Tuscaloosa,1125,Northport,33.2586,-87.5993,5710 McFarland Blvd.,Walmart Supercenter,1995-05-31,
315,AL,Blount,1009,Oneonta,33.9394,-86.4932,2453 2nd Ave. E,Walmart Supercenter,1980-10-14,
355,AL,Lee,1081,Opelika,32.6612,-85.3769,2900 Pepperell Pkwy,Walmart Supercenter,1980-11-18,
5653,AL,Baldwin,1003,Orange Beach,30.2942,-87.5849,25241 Perdido Beach Blvd. Ste W,Neighborhood Market,2011-05-18,
809,AL,Calhoun,1015,Oxford,33.5967,-85.8687,92 Plaza Ln.,Walmart Supercenter,1985-08-30,
740,AL,Dale,1045,Ozark,31.4508,-85.6473,1537 US-231,Walmart Supercenter,1981-07-04,
5262,AL,Shelby,1117,Pelham,33.3114,-86.7573,2181 Pelham Pkwy,Walmart Supercenter,2004-03-17,
5113,AL,St. Clair,1115,Pell City,33.561,-86.2669,165 Vaughan Ln.,Walmart Supercenter,2003-07-16,
5903,AL,Russell,1113,Phenix City,32.4585,-85.0253,3864 US-80,Neighborhood Market,2016-01-20,
1284,AL,Russell,1113,Phenix City,32.4585,-85.0253,3700 Hwy 280/431 N,Walmart Supercenter,1989-04-03,
483,AL,Autauga,1001,Prattville,32.4597,-86.4573,1903 Cobbs Ford Rd.,Walmart Supercenter,1982-10-05,
863,AL,Randolph,1111,Roanoke,33.1453,-85.3694,4180 US-431,Walmart Supercenter,1985-10-15,
6173,AL,Baldwin,1003,Robertsdale,30.5535,-87.7023,21141 AL-59,Walmart Supercenter,2014-09-24,
403,AL,Franklin,1059,Russellville,34.5055,-87.7283,13675 Hwy 43,Walmart Supercenter,1981-11-03,
1212,AL,Mobile,1097,Saraland,30.8479,-88.1004,1095 Industrial Pkwy,Walmart Supercenter,1988-09-01,
712,AL,Jackson,1071,Scottsboro,34.6438,-86.0491,24833 John T Reid Pkwy,Walmart Supercenter,1981-07-04,
700,AL,Dallas,1047,Selma,32.4166,-87.0336,1501 AL-14,Walmart Supercenter,1981-07-04,
5174,AL,Mobile,1097,Semmes,30.7899,-88.2389,7855 Moffett Rd.,Walmart Supercenter,2004-01-21,
3386,AL,St. Clair,1115,Springville,33.7643,-86.4742,160 Springville Station,Walmart Supercenter,2006-01-23,
2723,AL,Walker,1127,Sumiton,33.7502,-87.0483,690 Hwy 78 E,Walmart Supercenter,1999-09-15,
730,AL,Talladega,1121,Sylacauga,33.178,-86.2605,41301 US-280,Walmart Supercenter,1981-07-04,
432,AL,Talladega,1121,Talladega,33.4333,-86.0986,214 Haynes St.,Walmart Supercenter,1981-08-18,
1057,AL,Elmore,1051,Tallassee,32.5315,-85.8903,2190 Gilmer Ave.,Walmart Supercenter,1987-02-03,
5744,AL,Mobile,1097,Theodore,30.5408,-88.1885,7320 Theodore Dawes Rd.,Neighborhood Market,2016-01-27,
1174,AL,Clarke,1025,Thomasville,31.911,-87.7419,34301 Highway 43,Walmart Supercenter,1988-04-12,
723,AL,Pike,1109,Troy,31.8021,-85.9664,1420 US-231,Walmart Supercenter,1981-07-04,
5256,AL,Tuscaloosa,1125,Tuscaloosa,33.2348,-87.5268,4201 Hargrove Rd. E,Neighborhood Market,2015-09-30,
715,AL,Tuscaloosa,1125,Tuscaloosa,33.2348,-87.5268,1501 Skyland Blvd. E,Walmart Supercenter,1981-07-04,
733,AL,Chambers,1017,Valley,32.8088,-85.1810,3501 20th Ave.,Walmart Supercenter,1981-07-04,
4580,AL,Jefferson,1073,Vestavia Hills,33.4518,-86.7437,1300 Montgomery Hwy,Neighborhood Market,2007-07-25,
1101,AL,Elmore,1051,Wetumpka,32.5406,-86.2053,4538 US-231,Walmart Supercenter,1987-10-20,
362,AL,Marion,1093,Winfield,33.9334,-87.7961,2575 US-43,Walmart Supercenter,1981-08-18,
2070,AK,Anchorage,2020,Anchorage,61.1508,-149.1091,3101 A St,Walmart Supercenter,1994-03-29,
2071,AK,Anchorage,2020,Anchorage,61.1508,-149.1091,8900 Old Seward Hwy,Walmart Supercenter,1994-03-29,
4359,AK,Anchorage,2020,Anchorage,61.1508,-149.1091,7405 Debarr Road,Walmart Supercenter,2013-09-25,
2188,AK,Anchorage,2020,Anchorage,61.1508,-149.1091,18600 Eagle River Rd. (Eagle River),Walmart Supercenter,2000-04-26,
2722,AK,Fairbanks North Star,2090,Fairbanks,64.8353,-147.6533,537 Johansen Expy,Walmart Supercenter,2004-04-28,
4474,AK,Kenai Peninsula,2122,Kenai,60.5619,-151.1985,10096 Kenai Spur Hwy,Walmart Supercenter,2010-03-31,
2710,AK,Ketchikan Gateway,2130,Ketchikan,55.3556,-131.6698,4230 Don King Rd.,Walmart,2001-03-21,
2711,AK,Kodiak Island,2150,Kodiak,57.7934,-152.4059,2911 Mill Bay Rd.,Walmart,1999-03-31,
2074,AK,Matanuska-Susitna,2170,Wasilla,61.577,-149.4660,1350 S Seward Meridian Pkwy,Walmart Supercenter,1994-03-29,
5329,AZ,Maricopa,4013,Anthem,33.856,-112.1168,4435 W Anthem Way,Walmart Supercenter,2005-06-15,
1381,AZ,Pinal,4021,Apache Junction,33.3985,-111.5350,2555 W Apache Trl.,Walmart Supercenter,1991-07-02,
2554,AZ,Maricopa,4013,Avondale,33.3873,-112.3235,13055 W Rancho Santa Fe Blvd.,Walmart Supercenter,1998-01-26,
3807,AZ,Cochise,4003,Benson,31.9157,-110.3257,201 S Prickly Pear Ave.,Walmart Supercenter,2006-01-08,
3407,AZ,Maricopa,4013,Buckeye,33.4314,-112.6429,1060 S Watson Rd.,Walmart Supercenter,2007-08-08,
1370,AZ,Mohave,4015,Bullhead City,35.1205,-114.5461,2840 Highway 95,Walmart Supercenter,1990-01-31,
1218,AZ,Pinal,4021,Casa Grande,32.9069,-111.7624,1741 E Florence Blvd.,Walmart Supercenter,1988-10-11,
5835,AZ,Maricopa,4013,Cave Creek,33.8513,-111.9801,34399 N Cave Creek Rd.,Walmart Supercenter,2011-10-05,
1334,AZ,Gila,4007,Claypool,33.4061,-110.8422,100 S Ragus Rd.,Walmart Supercenter,1989-08-31,
4324,AZ,Maricopa,4013,Chandler,33.2825,-111.8514,1900 E Chandler Blvd.,Neighborhood Market,2013-11-06,
1512,AZ,Maricopa,4013,Chandler,33.2825,-111.8514,800 W Warner Rd.,Walmart Supercenter,1990-09-04,
2671,AZ,Maricopa,4013,Chandler,33.2825,-111.8514,1175 S Arizona Ave.,Walmart Supercenter,2005-08-24,
3360,AZ,Maricopa,4013,Chandler,33.2825,-111.8514,2750 E Germann Rd.,Walmart Supercenter,2005-11-02,
6480,AZ,Maricopa,4013,Chandler,33.2825,-111.8514,3460 W Chandler Boulevard,Walmart Supercenter,2015-03-11,
2657,AZ,Maricopa,4013,Chandler,33.2825,-111.8514,6085 W. Chandler Blvd.,Neighborhood Market,2014-01-01,2019-01-01
2778,AZ,Pinal,4021,Coolidge,32.9363,-111.5254,1695 N Arizona Blvd.,Walmart Supercenter,2001-01-24,
1299,AZ,Yavapai,4025,Cottonwood,34.7195,-112.0016,2003 E Rodeo Dr.,Walmart Supercenter,1989-02-02,
1846,AZ,Cochise,4003,Douglas,31.3602,-109.5394,199 W 5th St.,Walmart Supercenter,1992-09-01,
4336,AZ,Maricopa,4013,El Mirage,33.5905,-112.3271,12900 W Thunderbird Rd.,Walmart Supercenter,2007-07-18,
1175,AZ,Coconino,4005,Flagstaff,35.1872,-111.6194,2750 S Woodlands Village Blvd.,Walmart,1988-11-01,
4252,AZ,Coconino,4005,Flagstaff,35.1872,-111.6194,2601 E Huntington Dr.,Walmart Supercenter,2010-11-03,
4203,AZ,Mohave,4015,Fort Mohave,35.0004,-114.5748,5210 S Hwy. 95,Walmart Supercenter,2017-07-19,
3861,AZ,Maricopa,4013,Gilbert,33.31,-111.7463,5290 S Power Rd.,Walmart Supercenter,2007-08-08,
5186,AZ,Maricopa,4013,Gilbert,33.31,-111.7463,2501 S Market St.,Walmart Supercenter,2005-01-26,
3314,AZ,Maricopa,4013,Glendale,33.5791,-112.2311,7450 W Glendale Ave.,Neighborhood Market,2005-09-08,
3315,AZ,Maricopa,4013,Glendale,33.5791,-112.2311,4230 W Union Hills Dr.,Neighborhood Market,2005-01-19,
3844,AZ,Maricopa,4013,Glendale,33.5791,-112.2311,5137 W Olive Ave.,Neighborhood Market,2011-01-19,
3845,AZ,Maricopa,4013,Glendale,33.5791,-112.2311,6645 W Peoria Ave.,Neighborhood Market,2008-01-16,
1532,AZ,Maricopa,4013,Glendale,33.5791,-112.2311,5845 W Bell Rd.,Walmart Supercenter,1990-09-04,
3241,AZ,Maricopa,4013,Glendale,33.5791,-112.2311,18551 N 83rd Ave.,Walmart Supercenter,2003-01-22,
3465,AZ,Maricopa,4013,Glendale,33.5791,-112.2311,5010 N 95th Ave.,Walmart Supercenter,2003-03-19,
5124,AZ,Maricopa,4013,Glendale,33.5791,-112.2311,5605 W Northern Ave.,Walmart Supercenter,2004-04-14,
3604,AZ,Maricopa,4013,Goodyear,33.2614,-112.3622,14200 W Indian School Rd.,Neighborhood Market,2006-03-29,
5369,AZ,Maricopa,4013,Goodyear,33.2614,-112.3622,1100 N Estrella Pkwy.,Walmart Supercenter,2005-11-02,
2051,AZ,Mohave,4015,Kingman,35.217,-114.0105,3396 Stockton Hill Rd.,Walmart Supercenter,1994-01-04,
1364,AZ,Mohave,4015,Lake Havasu City,34.5006,-114.3113,5695 Highway 95 N,Walmart Supercenter,1990-01-31,
4430,AZ,Pinal,4021,Maricopa,33.0408,-112.0011,41650 W Maricopa Casa Grande Hwy.,Walmart Supercenter,2009-05-20,
3846,AZ,Maricopa,4013,Mesa,33.4015,-111.7178,2725 E McKellips Rd.,Neighborhood Market,2007-06-27,
5257,AZ,Maricopa,4013,Mesa,33.4015,-111.7178,5122 E University Dr.,Neighborhood Market,2004-01-14,
5304,AZ,Maricopa,4013,Mesa,33.4015,-111.7178,1916 S Lindsay Rd.,Neighborhood Market,2004-06-02,
5332,AZ,Maricopa,4013,Mesa,33.4015,-111.7178,730 E McKellips Rd.,Neighborhood Market,2004-01-14,
